Наименование,Белки,Жиры,Углеводы,Ккал
Масло сливочное 60%,1.3,60.0,1.7,552
Масло сливочное 67%,1.0,67.0,1.6,610
Масло сливочное Брест-Литовск несолёное 72.5%,0.8,72.5,1.3,661
Масло сливочное Валио 82%,0.7,82.0,0.7,740
Масло сливочное Вкуснотеево традиционное 82.5%,0.6,82.5,0.8,748
Масло сливочное крестьянское несолёное 72.5%,1.0,72.5,1.4,662
Ацидофилин 0.1%,3.0,0.1,3.9,31
Ацидофилин 1%,3.0,1.0,4.0,40
Ацидофилин 3.2%,2.8,3.2,3.8,57
Ацидофилин 3.2% сладкий,2.8,3.2,8.6,77
Ацидофилин Останкинский 2.5%,2.8,2.5,4.2,51
Биойогурт Активиа Виноград Манго Папайя Семена Чиа,4.1,2.9,10.8,86
Биойогурт Активиа Клубника Яблоко Питахайя,4.1,2.9,10.9,86
Биойогурт Останкинский 2.5%,3.2,2.5,8.9,71
Биойогурт Слобода питьевой с грушей и злаками 2%,2.8,2.0,11.0,73
Биойогурт Слобода с гранолой и изюмом 5%,3.6,5.0,14.3,117
Биойогурт Слобода с клубникой 2.5%,3.0,2.5,13.6,90
Биойогурт Слобода термостатный двухслойный с цветочным медом 2%,3.5,2.0,10.5,75
Биойогурт Слобода термостатный двухслойный с черникой 2%,3.6,2.0,15.8,93
Лапша Доширак со вкусом морепродуктов,9.0,19.0,62.0,460
Лапша рамен,10.4,1.1,69.7,337
Лапша Роллтон с курицей,8.8,20.7,56.7,448
Лапша Роллтон яичная Классическая,10.4,2.0,59.2,298
Лапша Сэн Сой рисовая,7.0,0.0,79.0,344
Лапша удон,10.4,1.1,69.7,337
Лапша харусаме,0.0,0.0,88.1,352
Лапша-лагман Щебекинские,13.0,1.5,72.0,350
Лингуине,12.0,1.2,71.0,350
Листы для лазаньи,12.0,1.5,72.2,350
Листы для лазаньи Barilla,12.0,1.5,72.2,350
Блюдо латиноамериканское Цыплёнок по-мексикански 4 сезона,6.6,8.5,10.7,127
Блюдо мексиканское Чили кон карне 4 сезона,6.4,8.8,15.7,160
Блюдо наше Макароны по-флотски 4 сезона,7.6,9.9,21.2,185
Блюдо русское Барашек с гречкой 4 сезона,5.9,13.8,17.7,224
Блюдо среднеазиатское Лагман 4 сезона,4.3,8.9,13.3,158
Блюдо тайское Лапша карри 4 сезона,5.9,6.4,12.7,128
Блюдо узбекское Плов с бараниной 4 сезона,4.2,6.0,14.9,150
Блюдо французское Шампиньон де пари 4 сезона,6.7,9.5,5.1,129
Блюдо швейцарское Фондю эменталь 4 сезона,7.9,10.2,13.3,175
Масло сливочное крестьянское солёное 72.5%,1.0,72.5,1.4,662
Масло сливочное шоколадное,1.5,62.0,18.6,642
Масло сливочное шоколадное Избёнка (ВкусВилл) 62%,1.2,62.0,19.6,644
Масло соевое,0.0,99.9,0.0,899
Масло топлёное,0.2,99.0,0.0,892
Масло тыквенное,0.0,99.5,0.0,896
Масло хлопковое,0.0,99.0,0.0,899
Масло ши (карите),0.0,98.0,0.0,884
Масло шишек хмеля,0.0,99.0,0.0,897
Биокефир Вкуснотеево 1%,3.1,1.0,5.5,43
Биокефир Останкинский 0.1%,3.0,0.1,3.6,27
Биолакт Сегодня и Всегда продукт кисломолочный Абрикос-Манго,2.8,2.5,11.0,78
Бифацил,2.9,2.5,7.9,66
Бифитат,2.8,3.4,4.7,61
Варенец 2.5%,2.8,2.5,4.0,50
Варенец Останкинский 2.5%,2.8,2.5,4.2,51
Даниссимо Белый персик - белый шоколад,4.6,6.1,18.3,147
Даниссимо Вишня,4.7,5.4,17.5,138
Даниссимо Груша-ваниль,4.7,5.4,17.1,136
Листы для лазаньи Buitoni,11.5,1.9,71.8,350
Макароны Barilla Colezione Mezze Penne Tricolore,12.0,2.0,71.7,353
Макароны Barilla Fusilli,14.0,2.0,69.7,359
Макароны Barilla Fusilli без глютена,6.5,1.8,87.7,359
Макароны Buitoni Бантики трехцветные,11.7,1.7,71.3,347
Макароны Buitoni Каннеллони крупные,11.5,1.9,71.8,350
Макароны Buitoni Спиральки трехцветные,11.7,1.7,71.3,347
Макароны La Molisana Spaghetti,14.0,1.0,70.0,351
Макароны Makfa,10.4,1.1,71.5,344
Блюдо японское Сакэна с рисом 4 сезона,5.7,2.4,13.6,103
Буженина вареная,16.4,18.3,1.0,233
Буженина Фабрика Качества из мяса цыплят-бройлеров Традиционная запечённая,20.0,9.0,0.0,160
Буйволятина,19.0,13.2,0.0,194
Буйволятина вареная,30.0,17.4,0.0,276
Буйволятина жареная,33.4,23.2,0.0,342
Буйволятина тушеная,24.4,16.9,0.0,250
Бульмени Горячая штучка С говядиной и свининой,14.5,9.5,19.0,220
Бульмени Горячая штучка Со сливочным маслом,14.5,10.0,19.0,224
Спред растительно-жировой Нежный,0.0,40.0,0.0,360
Тахина,24.0,62.0,10.0,695
Даниссимо Клубника,4.7,5.4,17.1,136
Даниссимо Крем-брюле,4.6,4.6,18.8,135
Даниссимо Лесные ягоды,4.7,5.4,17.2,136
Даниссимо Малина-земляника,4.7,5.4,16.0,131
Даниссимо Пахлава,4.7,5.1,15.8,128
Макароны Makfa гречневые,14.1,1.0,70.9,350
Макароны Makfa Станичные (перья любительские),16.3,1.6,69.2,356
Макароны Makfa Станичные (спирали),16.3,1.6,69.2,356
Макароны Makfa томатные,13.0,1.5,75.0,370
Макароны Makfa цельнозерновые,13.9,1.4,73.1,361
Макароны Makfa шпинатные,12.6,1.3,76.0,366
Макароны Makfa Экспресс,12.0,1.3,70.5,342
Макароны MakForFit с полбой и отрубями,13.5,1.4,66.0,330
Макароны MakForFit со шпинатом,12.0,1.0,67.0,330
Бычьи яйца,13.0,20.0,0.1,230
Верблюжатина,18.9,9.4,0.0,160
Верблюжатина вареная,29.8,12.4,0.0,230
Верблюжатина жареная,33.3,16.5,0.0,281
Верблюжатина тушеная,24.3,12.1,0.0,205
Ветчина,14.0,24.0,0.0,270
Ветчина DAK Датская,18.0,4.0,1.0,112
Ветчина в форме,22.6,20.9,0.0,278
Ветчина Велком Говяжья вареная,19.0,5.5,0.0,130
Ветчина Велком из окорока вареная,18.0,6.0,0.0,130
Ветчина Венеция из мяса индеек,13.2,5.4,2.6,112
Макароны вареные с жиром,3.4,5.0,19.0,135
Макароны Вкусвилл пружинка,12.0,1.0,67.0,325
Макароны высшего сорта,10.4,1.1,69.7,337
Ветчина ВкусВилл из индейки с травами,20.8,2.6,0.0,109
Ветчина Вязанка с индейкой,13.0,4.0,0.0,90
Ветчина Дымов с окороком,10.0,3.0,4.0,83
Ветчина Знаменские деликатесы по Швейцарскому рецепту,18.0,3.0,3.0,110
Ветчина из индейки обезжиренная,15.0,1.0,2.0,77
Ветчина Империя Вкуса из индейки,11.0,3.0,7.0,99
Ветчина Останкино Мраморная вареная,11.0,20.0,0.0,224
Ветчина Останкино нежная из индейки,10.0,10.0,5.0,154
Ветчина Останкино нежная из свиного окорока,8.0,13.0,3.0,166
Ветчина Папа может с индейкой,13.0,3.0,0.0,100
Ветчина Пармская,24.4,22.5,0.1,300
Ветчина Рублёвский Для завтрака из свинины,12.0,15.0,0.0,183
Батончик Bombbar Кето Миндальная нуга с ванилью,20.0,35.0,10.2,484
Ветчина Самокат Свиная премиум,6.0,37.0,3.5,370
Глухарь,18.0,20.0,0.5,254
Батончик Bombbar Кето Тропический кокос и миндаль,20.0,35.0,10.0,484
Батончик Bombbar Кето Шоколадное парфе с миндалем,20.0,35.0,11.0,486
Батончик Bombbar протеиновый Грецкий орех с медом,20.0,6.3,2.2,148
Батончик Bombbar протеиновый Датский бисквит,33.0,8.5,8.0,292
Батончик Bombbar протеиновый Шоколад,20.0,5.7,6.1,156
Батончик BSN Syntha-6 Decadence,31.6,12.6,44.2,389
Батончик Dymatize Elite XT Gourmet Protein Bar 42,35.3,11.8,40.0,376
Батончик Dymatize Elite XT Gourmet Protein Bar 85,37.6,14.1,24.7,412
Батончик Energy System Perform-Bar,10.0,5.0,73.0,374
Батончик FITKIT Extra Protein Bar Almond Latte (Миндальный Латте),27.2,12.7,27.2,327
Десерт горячий Брауни Бургер Кинг,5.6,30.9,39.2,456
Десерт мороженое Рожок Бургер Кинг,4.2,4.2,25.5,157
Картофель Деревенский Бургер Кинг,2.9,10.8,28.5,223
Батончик FITKIT Extra Protein Bar Banana Flambe (Банановый Фламбе),27.2,12.7,27.2,327
Батончик FITKIT Extra Protein Bar Cherry Brownie (Вишневый Брауни),27.2,14.5,27.2,345
Батончик FITKIT Extra Protein Bar Pina Colada (Пина Колада),27.3,12.7,27.3,327
Батончик FITKIT Extra Protein Bar Triple Chocolate (Тройной Шоколад),27.3,14.5,27.3,345
Батончик FITKIT Protein Bar Coconut Souffle (Кокосовое Суфле),25.0,7.2,20.0,265
Батончик FITKIT Protein Bar Double Chocolate (Двойной Шоколад),25.0,7.5,20.0,268
Батончик FITKIT Protein Bar Hazelnut-Chocolate (Шоколад-Фундук),25.0,7.5,20.0,268
Батончик FITKIT Protein Bar Mango-Passion Fruit (Манго-Маракуйя),25.0,6.6,20.0,260
Батончик FITKIT Protein Bar Mocaccino (Моккачино),25.0,7.5,20.0,268
Батончик FITKIT Protein Bar Peanut Cake (Арахисовый Торт),25.0,7.0,20.0,263
Батончик FITKIT Protein Bar Pistachio Ice Cream (Фисташковый Пломбир),25.0,6.7,20.0,260
Батончик FITKIT Protein Bar Raspberry Cheesecake (Малиновый Чизкейк),25.0,6.6,20.0,260
Картофель Кинг Фри Бургер Кинг,4.7,13.1,33.6,275
Напиток 7UP Бургер Кинг,0.0,0.0,10.7,43
Напиток Mirinda Бургер Кинг,0.0,0.0,12.2,49
Напиток Pepsi Бургер Кинг,0.0,0.0,10.8,43
Напиток кофе Бургер Кинг,0.0,0.0,0.0,
Напиток кофе Капучино Бургер Кинг,2.0,2.2,4.9,48
Напиток кофе Латте Бургер Кинг,2.6,2.8,5.9,60
Напиток Молочный шейк (ванильный) Бургер Кинг,3.9,4.0,23.4,145
Напиток чай (зеленый и черный) Бургер Кинг,0.0,0.0,0.0,
Батончик FITKIT Protein Bar Salted Caramel (Солёная Карамель),25.0,6.7,20.0,260
Батончик FITKIT Protein Bar Strawberry Trifle (Клубничный Трайфл),25.0,6.6,20.0,260
Батончик Herbalife Протеиновый,29.0,8.6,46.0,383
Батончик Herbalife Формула 1 Экспресс,23.7,10.7,37.1,369
Батончик Ironman Slim Bar протеиновый с L-карнитином,14.0,8.0,48.0,320
Батончик Multipower 32% Protein Pack,31.7,11.0,45.0,407
Батончик Multipower Crunch Fit,15.8,14.7,55.6,419
Батончик Multipower Energate!,20.0,21.7,42.9,451
Батончик Multipower L-Carnitine Bar,25.0,8.6,38.0,348
Батончик Multipower Power Pack,28.6,10.6,45.7,389
Салат Микс Бургер Кинг,1.3,0.2,4.0,23
Снеки Кинг Наггетс,16.0,16.7,15.2,275
Снеки Крылышки Кинг,21.8,13.7,2.6,221
Снеки Луковые колечки Бургер Кинг,5.2,13.3,38.1,293
Сэндвич Биг Кинг,8.5,13.1,14.9,212
Сэндвич Воппер,9.2,12.1,15.4,207
Сэндвич Воппер Двойной,11.9,15.1,12.1,230
Сэндвич Воппер Джуниор,9.2,10.7,19.0,207
Сэндвич Воппер Тройной,13.7,16.4,9.9,240
Сэндвич Гамбургер Бургер Кинг,7.6,5.1,25.9,182
Баскет 16 крыльев,13.8,19.5,18.6,306
Баскет 25 крыльев,16.6,20.7,15.4,314
Баскет Дуэт оригинальный и острый,16.5,15.1,17.2,271
Бутанику кадзукири,3.2,5.1,24.2,156
Большой завтрак McDonalds,30.0,30.0,62.0,640
Батончик MyProtein My Bar Zero,31.0,9.5,3.9,304
Батончик Optimum 100% Whey Crisp Bar,37.1,3.6,48.6,357
Батончик Optimum Complete Protein Diet Bar,40.0,6.0,36.0,360
Батончик Optimum Optimal Protein Diet Bar,40.0,5.0,46.0,360
Батончик Performance Bar,5.9,19.3,60.4,439
Батончик Power Pro с арахисом и карамелью с нугой,16.6,18.6,15.6,350
Батончик Quest Bar протеиновый Шоколад с фундуком,33.3,13.3,6.6,317
Батончик Rocket Energy с кокосом и шоколадом,5.9,41.0,28.6,462
"Батончик Rocket Energy с чаем матча, кокосом и ананасом",3.5,42.8,28.6,467
Батончик Scitec Nutrition Jumbo Bar Double Chocolate Cookie,50.0,8.2,26.0,378
Батончик Леовит Худеем за неделю Мюсли Фенхель с зелёным чаем,4.2,12.4,59.2,367
Батончик Турбослим белковый для похудения,16.0,8.0,18.0,220
Сэндвич Гриль Чикен Барбекю,12.1,11.9,18.5,233
Сэндвич Криспи Чикен,9.7,15.8,18.9,257
Сэндвич Стейкхаус Бургер Кинг,12.0,16.5,18.6,276
Сэндвич Фиш Кинг,8.8,14.9,21.4,255
Сэндвич Цезарь Ролл Бургер Кинг,10.7,10.9,19.7,230
Сэндвич Чизбургер Бургер Кинг,8.8,7.3,23.6,198
Сэндвич Чизбургер Двойной Бургер Кинг,9.6,8.6,17.0,187
Сэндвич Чикен Лонг,10.9,16.1,22.4,278
Сэндвич Чикенбургер Бургер Кинг,8.3,16.2,22.6,270
Баскет Пати,10.2,17.0,22.3,284
Баскет Стар,17.0,15.1,17.2,273
Десерт Мороженое Айс Дрим Клубника или Шоколад KFC,3.6,3.4,32.0,173
Десерт Мороженое в рожке Летнее KFC,4.4,3.9,25.3,154
Десерт Мороженое Летняя фантазия Клубничное KFC,3.5,3.5,30.5,167
Десерт Пирожок Хот Пай Дуэт Вишня и Шоколад KFC,7.5,29.8,58.3,531
Десерт Чизкейк Нью Йорк Карамель KFC,6.8,21.2,32.1,346
Десерт Чизкейк Нью Йорк Клубника KFC,5.2,20.3,34.1,339
Десерт Чизкейк Нью Йорк Шоколад KFC,5.5,20.7,33.1,341
Завтрак Биггер Утренний оригинальный,11.0,9.9,20.4,214
Завтрак Биггер Утренний острый,10.5,8.8,20.8,205
Бутанику рёри,16.6,22.2,3.4,280
Васаби игай-яки,4.5,8.0,11.5,136
Васаби Сэн Сой Премиум,0.0,9.0,40.0,241
Гёдза VICI с говядиной,8.5,6.7,23.9,194
Гёдза VICI с уткой,8.9,4.0,23.2,168
Гюнику татаки,12.8,2.6,6.8,102
Гютан терияки,11.0,22.5,14.1,223
Даси,5.0,0.0,30.0,120
Дорадо терияки,9.9,5.7,3.4,105
Ика фурай,8.2,4.6,10.0,115
Большой завтрак McDonalds с джемом,30.0,35.0,58.0,675
Большой завтрак McDonalds с мёдом,30.0,35.0,60.0,685
Десерт Вафельный рожок McDonalds,3.0,4.0,22.0,135
Десерт Вишнёвый пирожок McDonalds,2.0,12.0,29.0,230
Десерт Макфлурри Де Люкс карамельно-шоколадный,7.0,10.0,71.0,400
Десерт Макфлурри Де Люкс клубнично-шоколадный,6.0,8.0,61.0,340
Десерт Макфлурри с рисовыми шариками,6.0,8.0,61.0,340
Десерт Макфлурри с шоколадно-вафельной крошкой,6.0,8.0,40.0,280
Батончик Ути-Booty протеиновый Кокосовый рай,33.3,7.6,6.2,280
Батончик Ути-Booty протеиновый Колумбийская кола,33.3,7.5,6.3,278
Батончик Ути-Booty протеиновый Шоколад-Мята,33.3,7.1,5.8,273
Борщ Леовит Худеем за неделю Сибирский с мясом,19.0,3.5,48.0,300
Вафли MyProtein Wafers,35.8,21.5,31.0,466
Гейнер BSN True-Mass,33.1,11.0,45.5,434
Гейнер BSN True-Mass 1200,16.1,5.2,71.9,397
Гейнер CytoSport Cyto Gainer,36.0,3.0,49.3,367
Гейнер CytoSport Monster Mass,33.3,11.3,47.3,427
Завтрак Блинчики KFC,8.0,4.7,32.9,205
Завтрак Боксмастер утренний,9.4,10.5,17.9,203
Завтрак Брейкер,11.2,10.9,22.8,234
Завтрак Бустер,12.6,10.1,19.5,219
Завтрак Картофельный Хашбраун KFC,2.4,52.0,14.1,534
Завтрак Овсяная каша KFC,3.3,1.9,16.0,94
Завтрак Райзер,11.3,8.5,24.7,220
Завтрак Твистер утренний,10.6,10.4,18.8,212
Завтрак Тост с сыром KFC,11.1,12.0,34.1,288
Завтрак Яичница с байтсами KFC,18.9,13.9,6.6,228
Картофель фри KFC (стандартная порция),3.8,15.5,30.1,276
Кани гуриру,7.0,11.6,17.2,201
Кани муни,6.1,5.8,11.0,121
Караса кани,10.1,1.0,9.0,85
Кимучи,1.4,0.7,8.4,45
Кинси маки,8.5,18.0,2.4,210
Мисо,12.3,5.5,24.6,197
Насу тёмире,2.9,4.5,7.4,82
Нинику эби,8.2,13.4,5.8,177
Огава аки,18.8,5.1,10.2,162
Десерт Маффин с чёрной смородиной,5.0,18.0,47.0,370
Десерт Маффин с шоколадом,6.0,12.0,55.0,350
Десерт Мороженое с карамелью,5.0,7.0,60.0,325
Десерт Мороженое с клубникой,5.0,5.0,50.0,265
Десерт Мороженое с шоколадом,6.0,9.0,52.0,315
Картофель по-деревенски McDonalds,4.0,15.0,42.0,330
Картофель фри McDonalds (большая порция),5.0,22.0,54.0,445
Картофель фри McDonalds (маленькая порция),3.0,12.0,29.0,240
Картофель фри McDonalds (средняя порция),5.0,17.0,42.0,340
Коктейль ванильный McDonalds 400 мл,9.0,7.0,71.0,385
Коктейль клубничный McDonalds 400 мл,9.0,7.0,71.0,385
Коктейль шоколадный McDonalds 400 мл,10.0,8.0,70.0,395
Макзавтрак Блины с джемом,7.0,3.0,57.0,303
Гейнер Dymatize Elite Mass Gainer,36.7,4.0,51.3,400
Гейнер Dymatize Elite Mega Gainer,21.4,5.7,63.6,393
Гейнер Dymatize Mega Gainer,24.0,5.6,71.2,432
Гейнер Dymatize Super Mass Gainer,15.6,2.4,75.4,383
Гейнер Gaspari Real Mass,15.4,1.1,76.9,378
Гейнер IronMaxx Titan V.2.0,24.3,2.0,63.0,388
Гейнер Max Power Big Muscle,13.9,0.5,75.6,368
Гейнер Muscletech 100% Premium Mass Gainer,14.5,0.8,75.7,254
Коктейль молочный Милкшейк Лесная клубника KFC 400 мл,3.4,3.5,27.2,143
Коктейль молочный Милкшейк Шоколадно-Ореховый KFC 400 мл,3.4,3.5,27.2,154
Курица 1 крыло KFC,16.6,20.7,15.4,314
Курица 1 ножка KFC,21.4,12.6,10.1,239
Курица 1 стрипс оригинальный,24.5,15.2,13.7,290
Курица 1 стрипс острый,22.3,10.3,15.8,245
Курица Байтсы Острые,23.5,11.9,16.6,268
Курица Байтсы Терияки,15.1,8.9,26.0,244
Напиток Кофе Капучино KFC 300 мл,1.8,1.1,10.6,60
Салат Цезарь лайт KFC (без заправки),10.6,7.3,7.3,137
Основа для рыбного бульона ХонДаши,22.0,1.0,32.3,226
Ролл Авокадо,2.0,1.3,21.2,105
Ролл Аляска,4.2,2.7,12.2,90
Ролл Ацуй маки,5.8,5.7,15.5,137
Ролл Беруто дайкон,0.3,0.4,23.4,99
Ролл Бутанику кимути,5.1,6.9,15.2,144
Ролл Гейша маки,5.7,7.2,17.4,158
Ролл Дзитаку,6.4,6.1,16.8,148
Ролл Дракон маки,4.8,11.4,16.7,189
Ролл Инари спайси,6.0,4.8,13.8,123
Ролл Кагувасэ,7.2,6.5,20.9,171
Ролл Кадзи сякэ,6.5,5.9,15.8,142
Ролл Калифорния,7.0,8.8,17.2,176
Макзавтрак Блины с мёдом,7.0,3.0,59.0,308
Макзавтрак Блины стандартные,7.0,3.0,45.0,235
Макзавтрак двойной МакМаффин с яйцом и свиной котлетой,36.0,41.0,31.0,645
Макзавтрак двойной Фреш МакМаффин,27.0,35.0,33.0,560
Макзавтрак МакМаффин с яйцом и беконом,17.0,14.0,27.0,310
Макзавтрак МакМаффин с яйцом и свиной котлетой,24.0,25.0,27.0,435
Макзавтрак МакМаффин с яйцом и сыром,15.0,11.0,27.0,275
Макзавтрак МакМаффин со свиной котлетой,17.0,20.0,27.0,360
Макзавтрак МакТост,10.0,10.0,30.0,255
Биойогурт Тёма Груша-яблоко,3.2,2.8,11.6,84
Ассорти мясное,11.3,23.5,0.9,264
Гейнер Muscletech Mass Tech Hardcore Pro,23.3,1.5,68.3,379
Гейнер Muscletech Mass Tech Performance,25.0,3.5,69.0,392
Гейнер Optimum Pro Complex Gainer,37.7,5.0,53.5,409
Гейнер Optimum Serious Mass,15.0,1.0,76.0,374
Гейнер Performance Amino Gainer,30.8,4.2,51.7,362
Гейнер Performance Turbo Mass Gainer,21.3,2.6,62.9,360
Гейнер Ultimate Iso Mass Xtreme Gainer,42.5,4.6,52.3,425
Гейнер Ultimate Magic Milk,42.7,24.0,16.0,467
Гейнер Ultimate Massive Whey Gainer,33.3,2.4,56.4,381
Сэндвич Айтвистер,10.0,9.4,27.1,233
Сэндвич Айтвистер Чиз,9.7,13.7,23.3,256
Сэндвич Биг Маэстро Бургер Оригинальный,12.9,10.2,22.3,233
Сэндвич Биггер,12.3,11.4,22.7,242
Сэндвич Боксмастер Жюльен,7.8,15.6,20.1,252
Сэндвич Боксмастер из тостера,8.1,15.6,20.1,252
Сэндвич Зингер,11.6,10.7,22.2,231
Сэндвич Классик,10.9,8.8,24.3,220
Сэндвич Лонгер Жюльен,13.4,15.0,26.3,297
Сэндвич Лонгер Кентукки BBQ,11.6,8.0,28.8,234
Ролл Кани хината,4.4,6.2,12.7,124
Ролл Каппа маки,1.7,0.7,19.2,90
Ролл Каруй,0.1,0.3,10.8,46
Ролл Киото,8.4,6.3,16.0,155
Ролл Кирои,4.8,8.3,16.3,159
Ролл Кунсэй батакон,8.3,8.9,15.1,174
Ролл Манацуби,4.5,3.4,12.6,99
Ролл Масиро дайкон,2.3,2.0,11.1,71
Ролл Мидори сякэ,9.8,6.5,13.5,152
Ролл Овара,6.5,5.9,15.8,143
Макзавтрак МакТост с ветчиной,14.0,11.0,30.0,280
Макзавтрак Овсяная каша с джемом,4.0,4.0,35.0,200
Макзавтрак Овсяная каша с клюквой и изюмом,4.3,4.0,38.0,212
Макзавтрак Овсяная каша с мёдом,4.0,4.0,35.0,210
Макзавтрак Овсяная каша стандартная,4.0,4.0,23.0,150
Макзавтрак Снек Ролл с омлетом и беконом,16.0,16.0,27.0,320
Макзавтрак Снек Ролл с омлетом и свиной котлетой,22.0,26.0,27.0,435
Макзавтрак Фреш МакМаффин,18.0,21.0,33.0,400
Макзавтрак Хашбраун,1.0,8.0,14.0,135
Макзавтрак Чикен Фреш МакМаффин,19.0,13.0,41.0,365
Биойогурт Тёма Зеленое яблоко,3.2,2.8,11.7,85
Биойогурт Тёма Лесные ягоды,3.2,2.8,11.5,84
Биойогурт Тёма Шиповник-малина,3.2,2.8,12.0,86
Биокефир Агуша 3.2%,2.7,3.2,4.0,56
Биокефир Тёма детский 3.2%,2.8,3.2,4.1,56
Биолакт Тёма питьевой сладкий,2.8,3.2,8.3,74
Биолакт ФрутоНяня кисломолочный без сахара,3.1,3.4,4.7,62
Биотворог Тёма c черникой,7.9,4.2,10.3,111
Биотворог Тёма c черносливом,7.9,4.2,10.1,110
Ассорти овощное,1.0,0.1,3.3,19
Ассорти рыбное,10.4,4.7,0.5,78
Баклажаны по-корейски готовые,0.0,9.0,6.5,109
Баклажаны фаршированные готовые,1.5,6.1,7.3,79
Винегрет овощной готовый,1.8,3.7,8.8,75
Винегрет особый готовый,6.3,18.8,15.9,218
Капуста по-корейски готовая,1.5,7.0,7.9,87
Морковь по-корейски классическая готовая,1.1,8.2,10.7,121
Морковь по-корейски острая готовая,1.2,9.0,12.9,137
Морковь по-корейски с грибами готовая,1.3,5.0,5.7,71
Морковь по-корейски с кальмарами готовая,5.3,11.4,7.7,152
Борщ 4 сезона Московский,3.5,0.1,8.9,51
Гейнер Ultimate Muscle Juice 2544,22.0,7.2,60.8,396
Гейнер Ultimate Muscle Juice Revolution 2600,21.1,5.3,64.2,385
Джем Bombbar низкокалорийный груша-корица,0.5,0.1,4.0,19
Джем Bombbar низкокалорийный манго-банан,0.5,0.1,4.0,19
Завтрак сухой Geneticlab True Breakfast,50.0,2.0,32.0,352
Изолят соевого белка,90.1,0.2,3.9,380
Каша Dymatize Elite High Protein Granola,47.2,3.5,40.3,368
Каша Dymatize Elite High Protein Oatmeal,48.6,3.5,34.7,361
Каша овсяная Bombbar протеиновая малина,33.0,5.5,47.0,371
Сэндвич Сандерс,10.5,6.1,28.8,212
Сэндвич Твистер Веджи,4.6,18.0,22.2,269
Сэндвич Твистер Жюльен,11.1,13.9,23.6,264
Сэндвич Твистер из тостера,10.0,10.0,22.5,220
Сэндвич Чизбургер Жюльен,11.0,10.5,25.9,242
Сэндвич Шефбургер Джуниор Оригинальный,12.6,8.9,22.2,219
Ролл Окинава,5.8,4.8,18.0,139
Ролл Радуга,3.5,2.4,17.3,105
Ролл Рок-н-ролл,5.3,5.6,16.5,138
Ролл Супайсу тэмпура,8.5,6.7,16.5,160
Ролл Сякэ,6.8,2.7,19.3,128
Ролл Сякэ кунсей маки,6.0,5.5,18.1,146
Ролл Сякэ унаги маки,8.5,7.1,13.1,150
Ролл Тамаго маки,7.0,7.0,13.5,145
Ролл Тануки,9.7,11.5,14.4,201
Ролл Тануки фурай маки,5.5,6.6,18.2,154
Морковные палочки McDonalds,1.0,0.0,6.0,27
Напиток Апельсиновый сок McDonalds 400 мл,3.0,1.0,41.0,190
Напиток Двойной Эспрессо McDonalds,0.2,0.1,0.2,3
Напиток Капучино McDonalds 300 мл,6.0,7.0,9.0,125
Напиток Кока-Кола McDonalds 400 мл,0.0,0.0,42.0,170
Напиток Кока-Кола Лайт McDonalds 400 мл,0.4,0.0,0.0,2
Напиток Кофе McDonalds 200 мл,0.6,0.2,0.6,7
Напиток Кофе Глясе McDonalds,4.0,3.0,19.0,125
Напиток Кофе Латте McDonalds,6.0,7.0,10.0,125
Биотворог Тёма классический,9.1,5.0,3.5,95
Биотворог Тёма с абрикосом,7.9,4.2,10.4,111
Биотворог Тёма с яблоком и морковью,7.9,4.2,10.0,109
Бифилайф Ам-Ам Мамина забота Яблоко и Банан,2.9,2.5,10.5,76
Борщик Heinz с говядинкой,11.3,6.7,67.0,374
Вермишелька Heinz звездочки Любопышки,10.3,1.3,78.6,367
Гречневая каша Nestle безмолочная,11.0,3.0,76.5,377
Гречневая каша Nestle безмолочная с черносливом,11.0,3.0,76.5,377
Гречневая каша Nestle молочная,14.0,10.0,66.0,410
Гречневая каша Nestle молочная с курагой,14.0,10.0,66.0,410
Морковь по-корейски с капустой готовая,0.0,9.0,5.3,113
Морковь по-корейски со спаржей готовая,1.5,7.1,6.1,95
Морковь с чесноком и орехами готовая,2.0,11.5,9.3,148
Морская капуста по-корейски готовая,0.9,7.2,3.1,80
Опята остренькие готовые,2.0,9.5,4.3,110
Салат Алые паруса готовый,6.9,14.8,7.8,189
Салат Ариран готовый,17.9,17.3,2.1,235
Салат Афинский готовый,6.2,10.2,2.3,128
Салат Берендей готовый,0.8,20.2,5.2,205
Борщ Hortex украинский,1.4,0.2,4.8,31
Борщ Главсуп с курицей,2.3,1.8,3.3,38
Борщ из свежей капусты с мясом,4.4,3.6,5.5,63
Борщ летний холодный,1.1,2.1,6.4,49
Борщ сибирский,1.9,1.5,6.8,48
Борщ Сибирский с фрикадельками,5.8,5.3,5.0,82
Борщ украинский,1.1,2.2,6.7,49
Бульон говяжий,0.6,0.2,0.0,4
Бульон грибной,0.5,0.1,0.0,3
Бульон куриный,2.0,0.5,0.3,15
Бульон куриный крепкий домашний,2.5,1.2,3.5,36
Ролл Тори ясай,6.5,8.3,5.6,160
Ролл Тэкка маки,2.8,1.7,19.2,105
Ролл Тэмпура,6.1,3.6,18.0,129
Ролл Унаги,5.3,8.3,19.2,173
Ролл Унаги кани,9.8,18.0,19.2,277
Ролл Унаги тидзу,10.9,8.4,11.6,165
Ролл Унаги урамаки,6.1,7.5,15.0,152
Ролл Филадельфия,9.7,6.7,10.8,142
Ролл Харумаки,14.4,15.2,11.9,242
